"block_number","min"
11753792,6.5e+10
11753793,6.5e+10
11753794,5.7e+10
11753795,5.6e+10
11753796,5.6e+10
11753797,5.6e+10
11753798,6.6e+10
11753799,55955641920
11753800,6.6e+10
11753801,1e+09
11753802,5.55e+10
11753803,6.6e+10
11753804,55011100000
11753805,55011100000
11753806,55011100000
11753807,55011100000
11753808,5.501e+10
11753809,6.5e+10
11753810,7e+10
11753811,6.38e+10
11753812,6.38e+10
11753813,7e+10
11753814,6.16e+10
11753815,77962500185
11753816,6.16e+10
11753817,1e+09
11753818,59982110000
11753819,64000001459
11753820,6.2e+10
11753821,5.8e+10
11753822,56005550729
11753823,5.6e+10
11753824,5.6e+10
11753825,55000001347
11753826,5.5e+10
11753827,7.1e+10
11753828,6.82e+10
11753829,63906046574
11753830,7.5e+10
11753831,6.2e+10
11753832,6.16e+10
11753833,1e+09
11753834,6.2e+10
11753835,1e+09
11753836,6.9e+10
11753837,1e+09
11753838,6.2e+10
11753839,6.2e+10
11753840,6.16e+10
11753841,6.16e+10
11753842,6.16e+10
11753843,6.82e+10
11753844,6.05e+10
11753845,5.7e+10
11753846,1e+09
11753847,65000000006
11753848,9.2e+10
11753849,7.371e+10
11753850,6.8e+10
11753851,6.2e+10
11753852,9e+10
11753853,6.9e+10
11753854,6.2e+10
11753855,6.2e+10
11753856,6.16e+10
11753858,6.7e+10
11753859,6.7e+10
11753860,6.16e+10
11753861,56005550729
11753862,70400006494
11753863,6.9e+10
11753864,6.3e+10
11753865,5.6e+10
11753866,8.7e+10
11753867,84717094000
11753868,9.5e+10
11753869,8.3e+10
11753870,7.3e+10
11753871,6.7e+10
11753872,7.4e+10
11753873,1e+09
11753874,1e+09
11753875,6.7e+10
11753876,74000000091
11753877,6.5e+10
11753878,6.55e+10
11753879,6.5e+10
11753880,1e+09
11753881,6.4e+10
11753882,63000001459
11753883,8.8e+10
11753884,8e+10
11753885,7.4e+10
11753886,7e+10
11753887,1e+09
11753888,6.8e+10
11753889,60000001347
11753890,5.6e+10
11753891,5.501e+10
11753892,8.16e+10
11753893,6.8e+10
11753894,3.01e+10
11753895,56000001459
11753896,5.6e+10
11753897,5.6e+10
11753898,55000001347
11753899,1e+09
11753900,55000001123
11753901,6.1e+10
11753902,6.9e+10
11753903,5.7e+10
11753904,56000001459
11753905,6e+10
11753906,5.7e+10
11753907,5.55e+10
11753908,86000001459
11753909,5.8e+10
11753910,56000001459
11753911,9.5e+10
11753912,1.08e+11
11753913,106857144525
11753914,9.5e+10
11753915,8.6e+10
11753916,8.4e+10
11753917,9.6e+10
11753918,7.8e+10
11753919,9.24e+10
11753920,8.7e+10
11753921,8e+10
11753922,7.41e+10
11753923,1e+09
11753924,7.1e+10
