"block_number","min"
11903793,1.37e+11
11903794,1.37e+11
11903795,1.575e+11
11903796,1.485e+11
11903797,1.65e+11
11903798,1.48e+11
11903799,1.61e+11
11903800,151000001459
11903801,1.4853e+11
11903802,1e+09
11903803,1.65e+11
11903804,1e+09
11903805,1.5e+11
11903806,1.4853e+11
11903807,1.48e+11
11903808,1.48e+11
11903809,1.4653e+11
11903810,138771728266
11903811,1.4853e+11
11903812,134000001459
11903813,1.31e+11
11903814,1.31e+11
11903815,1.3e+11
11903816,1.28e+11
11903817,1.28e+11
11903818,1.265e+11
11903819,1.2e+11
11903820,1.26e+11
11903821,1.48e+11
11903822,1.26e+11
11903823,1.49e+11
11903824,1.46e+11
11903826,1.47e+11
11903827,1.46e+11
11903828,1.39e+11
11903829,1.59e+11
11903830,1.45e+11
11903831,1.243e+11
11903832,1.2e+11
11903833,1.36e+11
11903834,1.45e+11
11903835,1.51e+11
11903836,1e+09
11903837,1.36e+11
11903838,1.5e+11
11903839,1.518e+11
11903840,1.5e+11
11903841,1e+09
11903842,144000001459
11903843,1.4e+11
11903844,139000001459
11903845,1.59e+11
11903846,1.45e+11
11903847,144000001459
11903848,1.34e+11
11903849,1.3e+11
11903850,1.41e+11
11903851,1.55e+11
11903852,1.47e+11
11903853,1.3e+11
11903854,1.25e+11
11903855,154000001459
11903856,1.617e+11
11903857,147000001459
11903858,1.47e+11
11903859,144000001459
11903860,1e+09
11903861,1.47e+11
11903862,144000001459
11903863,132000001459
11903864,1.2e+11
11903865,1.5e+11
11903866,1.43e+11
11903867,1.18e+11
11903868,1.48e+11
11903869,1e+09
11903870,1.32e+11
11903871,1.177e+11
11903872,1e+09
11903873,1e+09
11903874,1.45e+11
11903875,158400001604
11903876,1.54e+11
11903877,1.69e+11
11903878,158400001604
11903879,1.47e+11
11903880,1.45e+11
11903881,144000001459
11903882,144000001459
11903883,1.515e+11
11903884,1.5e+11
11903885,144000001459
11903886,1.44e+11
11903887,1.47e+11
11903888,1.4e+11
11903890,1.4e+11
11903891,1.28e+11
11903892,1.265e+11
11903893,1.19e+11
11903894,117000001459
11903895,1.3e+11
11903896,1.161e+11
11903897,1.2e+11
11903898,1e+09
11903899,1.45e+11
11903900,144000001459
11903901,1.21e+11
11903902,1e+09
11903903,1.16e+11
11903904,1.15e+11
11903905,158400001604
11903906,1.4e+11
11903907,1.2e+11
11903908,1.39755e+11
11903909,1.14e+11
11903910,1.14e+11
11903911,1.13e+11
11903912,1e+09
11903913,3.01e+10
11903914,1.32e+11
11903915,1.33e+11
11903916,3.01e+10
11903917,1.13e+11
11903918,1.08e+11
11903919,1.0609e+11
11903920,105000001347
11903921,1.28e+11
11903922,1.5e+11
11903923,1.331e+11
11903924,1.26e+11
11903925,128700001358
11903926,1.26e+11
11903927,1.26e+11
11903928,1.37e+11
11903929,1.26e+11
11903930,140701425541
11903931,1.42e+11
11903932,127000001459
11903933,1e+09
11903934,1e+09
11903935,121000001459
11903937,1.27e+11
11903938,1.26e+11
11903939,1.26e+11
11903940,1.26e+11
11903941,1.21e+11
11903942,1.26e+11
11903943,1.24e+11
11903944,1.17e+11
11903945,1.26e+11
11903946,1.17e+11
11903947,1e+09
11903948,116008700000
11903949,1.16e+11
11903950,1.15e+11
11903951,1.386e+11
11903952,1.15e+11
11903953,1.12e+11
11903954,1.1e+11
11903956,123750000002
11903957,1.38e+11
11903958,1.26e+11
11903959,1.21e+11
11903960,1.21e+11
11903961,1e+09
11903962,1.21e+11
11903963,1.452e+11
11903964,1e+09
11903965,1.2e+11
11903966,1.155e+11
11903967,135000001561
11903968,1.21e+11
11903969,1.13e+11
11903970,1.08e+11
11903972,105000001347
11903973,1.05e+11
11903974,1.05e+11
11903975,1.03e+11
11903976,1.15e+11
11903977,1.05e+11
11903978,104000001123
11903979,1.033e+11
11903980,1.32e+11
11903981,1.2e+11
11903982,1.17e+11
11903983,1.13e+11
11903984,1.03e+11
11903985,1.03e+11
11903986,1.32e+11
11903987,1.2e+11
11903988,1.13e+11
11903989,1.13e+11
11903990,1.265e+11
11903991,112500000673
11903992,1.06e+11
11903993,1.03e+11
11903994,1.023e+11
11903995,1.023e+11
11903996,1.02e+11
11903997,1.02e+11
11903998,1e+09
11903999,1.01e+11
11904000,1e+11
11904001,1.19e+11
11904002,115500000673
11904003,112500000673
11904004,1.06e+11
11904005,1e+11
11904006,1e+09
11904007,112500000673
11904008,1e+11
11904009,105000001459
11904010,1e+11
11904011,9.9e+10
11904012,1.03e+11
11904013,1.1e+11
11904014,1.03e+11
11904015,1.023e+11
11904016,1.01e+11
11904017,1.35e+11
11904018,1.26e+11
11904019,1.2e+11
11904020,1.152e+11
11904022,1.135e+11
11904023,1.09201e+11
11904024,1.1e+11
11904025,1.3e+11
11904026,112500001908
11904027,1.09201e+11
11904028,1.09e+11
11904029,1.06e+11
11904030,1e+09
11904031,1.05e+11
11904032,1.045e+11
11904033,1.03e+11
11904034,1.023e+11
11904035,1.27e+11
11904036,1.125e+11
11904037,1.35e+11
